match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,3.3,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,3.4,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,3.5,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,3.6,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,4,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,4.1,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,6,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,4.2,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,4.3,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,4.4,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,4.5,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,4.6,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.1,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.2,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,1,1,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.3,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.4,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,L Ngidi,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.5,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,AK Markram,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.6,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,AK Markram,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,5.7,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,AK Markram,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,6.1,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,6.2,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,6.3,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,6.4,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,4,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,6.5,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,K Rabada,1,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,6.6,Afghanistan,South Africa,Ibrahim Zadran,Rahmanullah Gurbaz,K Rabada,0,0,,,,,,,,,
1384433,2023/24,10-11-2023,"Narendra Modi Stadium, Ahmedabad",1,7.1,Afghanistan,South Africa,Rahmanullah Gurbaz,Ibrahim Zadran,G Coetzee,0,0,,,,,,,,,
